chr1	5862809	5992333
chr1	26696014	26782104
chr1	114704468	114716771
chr1	119911552	120069662
chr1	149923316	149927803
chr1	155897807	155911349
chr1	164559183	164851830
chr10	70431935	70447951
chr10	74824926	75032623
chr10	110567694	110606048
chr10	110919369	111013665
chr10	121478329	121598458
chr11	532241	535576
chr11	47331405	47352702
chr11	62615295	62621986
chr11	118436491	118526832
chr12	6570081	6606451
chr12	25205245	25250929
chr12	49018974	49060855
chr12	112418914	112509913
chr12	114353910	114408012
chr12	115958575	116277219
chr14	23381986	23408273
chr14	23412739	23435677
chr14	29576478	29927847
chr15	34790229	34795549
chr15	36889203	37101311
chr15	40929339	40939073
chr15	42942896	43106038
chr15	48408312	48645709
chr15	66386911	66491544
chr15	66702109	66716456
chr15	67065601	67195169
chr15	74179465	74202787
chr15	89734771	89751231
chr15	96326045	96340258
chr16	3725053	3880713
chr16	15703134	15857028
chr16	51135981	51150597
chr16	86566828	86569728
chr16	89267618	89427630
chr17	31094926	31377677
chr17	40624961	40647818
chr17	44849947	44899368
chr17	46027334	46224903
chr18	22169588	22202528
chr18	51030212	51085042
chr19	4090320	4124184
chr19	8580239	8610691
chr19	10960998	11062277
chr19	11199294	11262501
chr19	18868544	18896158
chr2	38981548	39124868
chr2	144384080	144520119
chr2	157736445	157875862
chr2	202376309	202567751
chr20	10637683	10673999
chr20	51782330	51802521
chr20	62463496	62475820
chr21	33543037	33560667
chr22	19756702	19767332
chr22	23786965	23838009
chr3	9933787	9945399
chr3	12583600	12664117
chr3	30606471	30694142
chr3	38453889	38493142
chr3	132680608	132722409
chr4	5562407	5708578
chr4	5711198	5823024
chr4	110617422	110642123
chr4	165873123	166105178
chr4	173526090	173530229
chr5	36876768	37065819
chr5	123089147	123187080
chr5	154474971	154478209
chr5	173232108	173235206
chr5	177131834	177300213
chr5	180601505	180649600
chr6	1609914	1613897
chr6	50817691	50847619
chr6	57186991	57222307
chr6	121435645	121449727
chr6	139371806	139374213
chr6	149217925	149411607
chr6	156776025	157210779
chr7	35199935	35248790
chr7	39949663	40054623
chr7	74027771	74069907
chr7	140713327	140924929
chr8	11676934	11760002
chr8	23701739	23706756
chr8	41929478	42051987
chr8	60678739	60868028
chr8	105318437	105804539
chr8	116845933	116874776
chr8	144473411	144475849
chr9	99104037	99150259
chr9	100099242	100302175
chr9	136494432	136546048
chr9	137619000	137836127
chrX	40051245	40097265
chrX	44873181	45090868
chrX	53374148	53422728
chrX	133535744	133985594
chrX	137566126	137577691
chrX	154348530	154374634
