chr1	1173708	1181759
chr1	1232236	1235041
chr1	5862809	5992333
chr1	8352403	8423832
chr1	10636603	10796646
chr1	11845708	11847783
chr1	11934716	11975537
chr1	21217249	21290215
chr1	26696014	26782104
chr1	26787053	26800659
chr1	51354262	51422095
chr1	74235386	74544428
chr1	85580760	85583950
chr1	99850076	99924016
chr1	110059869	110070672
chr1	111770661	111989245
chr1	114704468	114716771
chr1	115700020	115768714
chr1	119911552	120069662
chr1	147756198	147760602
chr1	149923316	149927803
chr1	150549377	150560933
chr1	155897807	155911349
chr1	156934839	157044644
chr1	161197416	161214395
chr1	164559183	164851830
chr1	204516376	204551977
chr1	209785616	209806142
chr1	211658255	211675621
chr1	215622890	216423448
chr1	225936602	225941220
chr1	226870593	226903829
chr1	228208043	228361250
chr1	229431244	229434094
chr1	237042183	237833988
chr1	244835305	244845063
chr10	18140423	18543557
chr10	20779972	20898801
chr10	33177492	33334652
chr10	58385408	58390854
chr10	60026297	60140740
chr10	65912522	67231153
chr10	70431935	70447951
chr10	71396919	71815947
chr10	71964394	72013558
chr10	74824926	75032623
chr10	86755785	86927969
chr10	88935073	88991397
chr10	99694292	99732127
chr10	100987542	100994403
chr10	110567694	110606048
chr10	110919369	111013665
chr10	113588713	113664041
chr10	120851312	120909525
chr10	121478329	121598458
chr10	125766452	125775821
chr11	532241	535576
chr11	2445007	2849105
chr11	2883217	2885775
chr11	6621329	6655809
chr11	18394562	18408215
chr11	22192484	22282735
chr11	47437763	47449136
chr11	47579073	47584562
chr11	61752616	61788518
chr11	62615295	62621986
chr11	62671672	62673686
chr11	62690261	62706315
chr11	63974619	63976543
chr11	66510634	66533598
chr11	67606935	67612554
chr11	68030680	68036644
chr11	71434410	71448387
chr11	74454840	74467549
chr11	85628572	85636540
chr11	85647966	85656542
chr11	95976597	96343195
chr11	103109425	103479863
chr11	112086872	112095794
chr11	118133376	118145433
chr11	118162805	118176639
chr11	118436491	118526832
chr11	119024111	119029480
chr11	119206338	119308149
chr11	123629186	123654603
chr11	124883690	124897865
chr11	125883613	125900646
chr11	126269042	126278128
chr11	128458764	128587558
chr11	128891355	128921163
chr12	752578	911452
chr12	1969551	2691199
chr12	4649113	4694317
chr12	5043878	5046788
chr12	6570081	6606451
chr12	21531526	21604858
chr12	21764954	21774706
